,ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism
14,ARO:3003698,40350,3405,2211,mexP,mexP,BAE06007.1,AB219524.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;carbapenem;diaminopyrimidine antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
15,ARO:3003700,40352,3407,2213,opmE,opmE,BAE06009.1,AB219524.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;carbapenem;diaminopyrimidine antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
16,ARO:3002048,38448,944,1489,CMY-37,CMY-37,BAF36388.1,AB280919,CMY beta-lactamase,cephamycin,antibiotic inactivation
17,ARO:3001115,37495,1948,1429,SHV-60,SHV-60,BAF92780.1,AB302939,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
18,ARO:3001160,37540,1230,1705,SHV-111,SHV-111,BAF95849.1,AB372881,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
19,ARO:3002052,38452,1345,1086,CMY-41,CMY-41,BAG14343.1,AB429270,CMY beta-lactamase,cephamycin,antibiotic inactivation
20,ARO:3003954,40724,3757,2426,efmA,efmA,BAG75524.1,AB467372.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux
21,ARO:3001177,37557,1144,449,SHV-133,SHV-133,BAI94487.1,AB551737,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
22,ARO:3003046,39480,265,372,qacA,qacA,BAJ09383.1,AB566411,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
23,ARO:3002069,38469,1443,1840,CMY-59,CMY-59,BAJ17544.1,AB587082,CMY beta-lactamase,cephamycin,antibiotic inactivation
24,ARO:3003039,39473,315,1570,oprA,OprA,BAM10414.1,AB639410,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;carbapenem;fluoroquinolone antibiotic;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux
25,ARO:3002100,38500,1284,1829,CMY-87,CMY-87,BAL63057.1,AB699171,CMY beta-lactamase,cephamycin,antibiotic inactivation
26,ARO:3001057,37437,1571,132,TEM-198,TEM-198,BAL68178.1,AB700703,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
27,ARO:3001204,37584,1146,1412,SHV-167,SHV-167,BAM28879.1,AB733453,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
28,ARO:3002774,39208,721,382,QnrB61,QnrB61,BAN04737.1,AB734053,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection
29,ARO:3002773,39207,690,2011,QnrB60,QnrB60,BAN04743.1,AB734055,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection
30,ARO:3001827,38227,1341,638,ACT-16,ACT-16,BAM34463.1,AB737978,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation
31,ARO:3002071,38471,5299,281,CMY-110,CMY-110,BAO05497.1,AB872957.1,CMY beta-lactamase,cephamycin,antibiotic inactivation
32,ARO:3004588,42518,5311,3298,Klebsiella pneumoniae KpnG,Klebsiella pneumoniae KpnG,EHL92831.1,ACWO01000051.1,major facilitator superfamily (MFS) antibiotic efflux pump,aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penam;penem;peptide antibiotic,antibiotic efflux
33,ARO:3003961,40732,5478,2428,farA,farA,AAF40763.1,AE002098.2,major facilitator superfamily (MFS) antibiotic efflux pump,antibacterial free fatty acids,antibiotic efflux
34,ARO:3000811,37191,5285,1938,mtrD,mtrD,AAF42062.1,AE002098.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic;penam,antibiotic efflux
35,ARO:3000149,36288,5386,1222,fosA,FosA,AAG04518.1,AE004091.2,fosfomycin thiol transferase,fosfomycin,antibiotic inactivation
36,ARO:3003679,40314,5270,2192,TriA,TriA,AAG03546.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,triclosan,antibiotic efflux
37,ARO:3003680,40315,5384,2193,TriB,TriB,AAG03547.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,triclosan,antibiotic efflux
38,ARO:3003681,40316,5383,2194,TriC,TriC,AAG03548.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,triclosan,antibiotic efflux
39,ARO:3000803,37183,5525,1067,MexE,MexE,AAG05881.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux
40,ARO:3000804,37184,5530,1300,MexF,MexF,AAG05882.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux
41,ARO:3000805,37185,5524,172,OprN,OprN,AAG05883.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux
42,ARO:3002985,39419,5385,1643,arnA,arnA,AAG06942.1,AE004091.2,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
43,ARO:3003710,40364,5380,2219,mexL,MexL,AAG07066.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux
44,ARO:3000806,37186,5202,995,mexG,MexG,AAG07592.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux
45,ARO:3000807,37187,5354,1344,mexH,MexH,AAG07593.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux
46,ARO:3000808,37188,5392,1647,mexI,MexI,AAG07594.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux
47,ARO:3000809,37189,5356,442,opmD,OpmD,AAG07595.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,antibiotic efflux
48,ARO:3000377,36516,5500,440,MexA,MexA,AAG03814.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux
49,ARO:3000379,36518,5378,1305,OprM,OprM,AAG03816.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux
50,ARO:3003030,39464,3464,2207,mexV,MexV,AAG07762.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
51,ARO:3003682,40317,5382,2195,OpmH,OpmH,AAG08359.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,triclosan,antibiotic efflux
52,ARO:3004038,41082,5488,2655,Pseudomonas aeruginosa emrE,Pseudomonas aeruginosa emrE,AAG08375.1,AE004091.2,small multidrug resistance (SMR) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux
53,ARO:3004077,41170,5376,2734,PmpM,PmpM,AAG04750.1,AE004091.2,multidrug and toxic compound extrusion (MATE) transporter,aminoglycoside antibiotic;benzalkonium chloride;fluoroquinolone antibiotic,antibiotic efflux
54,ARO:3004107,41228,5395,2775,Pseudomonas aeruginosa soxR,Pseudomonas aeruginosa soxR,AAG05661.1,AE004091.2,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,acridine dye;cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux;antibiotic target alteration
55,ARO:3004072,41154,5207,2716,OpmB,OpmB,AAG05913.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,antibiotic efflux
56,ARO:3004075,41158,5199,2720,MuxC,MuxC,AAG05914,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,antibiotic efflux
57,ARO:3004074,41156,5204,2718,MuxB,MuxB,AAG05915.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,antibiotic efflux
58,ARO:3004073,41155,5206,2717,MuxA,MuxA,AAG05916.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,antibiotic efflux
59,ARO:3003693,40341,4651,2206,mexK,MexK,AAG07064.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux
60,ARO:3003692,40340,5274,2205,mexJ,MexJ,AAG07065.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux
61,ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux
62,ARO:3000318,36457,5189,1731,mphB,mphB,AAG57600.1,AE005174.2,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
63,ARO:3000025,36034,5129,2112,patB,patB,AAK76136.1,AE005672.3,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
64,ARO:3000024,36033,5128,2081,patA,patA,AAK76137.1,AE005672.3,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
65,ARO:3002571,38971,5208,1526,AAC(6')-Iaa,AAC(6')-Iaa,AAL20537.1,AE006468.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
66,ARO:3000504,36643,5224,44,golS,golS,AAL19308.1,AE006468.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic,antibiotic efflux
67,ARO:3000826,37206,5397,228,sdiA,sdiA,AAL20862.1,AE006468.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan,antibiotic efflux
68,ARO:3000791,37171,5482,1180,mdsC,mdsC,AAL19304.1,AE006468.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic,antibiotic efflux
69,ARO:3000790,37170,5454,1385,mdsB,mdsB,AAL19305.1,AE006468.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic,antibiotic efflux
70,ARO:3000789,37169,5279,429,mdsA,mdsA,AAL19306.1,AE006468.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic,antibiotic efflux
71,ARO:3000822,37202,5431,2003,pmrA,pmrA,AAK99679.1,AE007317.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
72,ARO:3000614,36908,5490,1401,mefE,mefE,AAK99775.1,AE007317.1,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
73,ARO:3003774,40449,4634,2283,Streptococcus agalactiae mprF,Streptococcus agalactiae mprF,AAN00989.1,AE009948.1,defensin resistant mprF,peptide antibiotic,antibiotic target alteration
74,ARO:3002865,39299,4707,1397,dfrC,dfrC,AAO04716.1,AE015929.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
75,ARO:3002660,39060,467,1031,APH(6)-Id,APH(6)-Id,AAC23556.1,AF024602,APH(6),aminoglycoside antibiotic,antibiotic inactivation
76,ARO:3002703,39137,3,1366,cmx,cmx,AAG03380.1,AF024666,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
77,ARO:3002867,39301,677,5,dfrF,dfrF,AAD01868.1,AF028812,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
78,ARO:3000177,36316,413,988,tet(J),tet(J),AAD12753.1,AF038993,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
79,ARO:3000929,37309,1079,2040,TEM-60,TEM-60,AAC05975.1,AF047171,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
80,ARO:3002603,39003,372,1539,aadA3,aadA3,AAC14728.1,AF047479,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
81,ARO:3000928,37308,931,15,TEM-59,TEM-59,AAD45935.1,AF062386,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
82,ARO:3001075,37455,1872,1739,SHV-16,SHV-16,AAC98092.2,AF072684,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
83,ARO:3000230,36369,457,1372,ANT(2'')-Ia,ANT(2'')-Ia,AAC64365.1,AF078527,ANT(2''),aminoglycoside antibiotic,antibiotic inactivation
84,ARO:3000934,37314,1248,287,TEM-67,TEM-67,AAD33116.2,AF091113,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
85,ARO:3000882,37262,2029,665,TEM-10,TEM-10,AAC72362.1,AF093512,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
86,ARO:3000922,37302,1886,1740,TEM-53,TEM-53,AAD22538.1,AF104441,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
87,ARO:3000923,37303,1959,1173,TEM-54,TEM-54,AAD22539.1,AF104442,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
88,ARO:3001077,37457,1147,1438,SHV-19,SHV-19,AAF34333.1,AF117743,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
89,ARO:3001078,37458,1314,825,SHV-20,SHV-20,AAF34334.1,AF117744,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
90,ARO:3001079,37459,1391,374,SHV-21,SHV-21,AAF34335.1,AF117745,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
91,ARO:3001080,37460,1474,1158,SHV-22,SHV-22,AAF34336.1,AF117746,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
92,ARO:3001081,37461,1560,1599,SHV-23,SHV-23,AAF34337.1,AF117747,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
93,ARO:3003002,39436,4470,174,CfxA2,CfxA2,AAD23513.1,AF118110.1,CfxA beta-lactamase,cephamycin,antibiotic inactivation
94,ARO:3001076,37456,1636,74,SHV-18,SHV-18,AAF64386.1,AF132290,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
95,ARO:3002605,39005,471,1420,aadA5,aadA5,AAF17880.1,AF137361,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
96,ARO:3002570,38970,205,1995,AAC(6')-Iz,AAC(6')-Iz,AAD52985.1,AF140221,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
97,ARO:3000959,37339,1961,220,TEM-92,TEM-92,AAF66653.1,AF143804,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
98,ARO:3002569,38969,397,360,AAC(6')-Iy,AAC(6')-Iy,AAF03531.1,AF144880,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
99,ARO:3001060,37440,1234,1053,SHV-2,SHV-2,AAD37413.1,AF148851,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
100,ARO:3002602,39002,3404,1227,aadA2,aadA2,AAF27727.1,AF156486,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
101,ARO:3000938,37318,1651,14,TEM-72,TEM-72,AAF19151.1,AF157553,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
102,ARO:3000368,36507,150,455,vanC,vanC,AAA24786.1,AF162694,glycopeptide resistance gene cluster;van ligase,glycopeptide antibiotic,antibiotic target alteration
103,ARO:3002966,39400,39,97,vanXYC,vanXYC,AAF61331.1,AF162694,glycopeptide resistance gene cluster;vanXY,glycopeptide antibiotic,antibiotic target alteration
104,ARO:3002970,39404,151,734,vanTC,vanTC,AAD22403.1,AF162694,glycopeptide resistance gene cluster;vanT,glycopeptide antibiotic,antibiotic target alteration
105,ARO:3002922,39356,105,1547,vanRC,vanRC,AAF86641.1,AF162694,glycopeptide resistance gene cluster;vanR,glycopeptide antibiotic,antibiotic target alteration
106,ARO:3002933,39367,565,966,vanSC,vanSC,AAF86642.1,AF162694,glycopeptide resistance gene cluster;vanS,glycopeptide antibiotic,antibiotic target alteration
107,ARO:3001072,37452,1063,1466,SHV-13,SHV-13,AAD43815.1,AF164577,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
108,ARO:3003066,39500,4694,1550,smeR,smeR,AAD51348.1,AF173226.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux
109,ARO:3003051,39485,496,1507,smeA,smeA,AAD51344.1,AF173226,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux
110,ARO:3003052,39486,521,1960,smeB,smeB,AAD51345.1,AF173226,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux
111,ARO:3003053,39487,155,1264,smeC,smeC,AAD51346.1,AF173226,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux
112,ARO:3003067,39501,4492,342,smeS,smeS,AAD51347.1,AF173226,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;cephamycin;penam,antibiotic efflux
113,ARO:3000936,37316,1496,1887,TEM-70,TEM-70,AAF01046.1,AF188199,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
114,ARO:3000946,37326,851,1096,TEM-79,TEM-79,AAF05611.1,AF190692,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
115,ARO:3000944,37324,2038,171,TEM-78,TEM-78,AAF05612.1,AF190693,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
116,ARO:3000942,37322,1887,1951,TEM-76,TEM-76,AAF05613.1,AF190694,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
117,ARO:3000937,37317,1574,398,TEM-71,TEM-71,AAL03985.1,AF203816,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
118,ARO:3001083,37463,1713,1014,SHV-25,SHV-25,AAF37209.2,AF208796,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
119,ARO:3001073,37453,1471,791,SHV-14,SHV-14,AAG17550.1,AF226622,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
120,ARO:3001084,37464,1789,1448,SHV-26,SHV-26,AAF36719.1,AF227204,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
121,ARO:3000616,36910,5180,1231,mel,mel,AAL73129.1,AF227521.1,ABC-F ATP-binding cassette ribosomal protection protein,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic,antibiotic target protection
122,ARO:3003318,39902,3557,2292,Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin,Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin,AAO47226.2,AF235050.4,aminocoumarin resistant parY,aminocoumarin antibiotic,antibiotic target alteration
123,ARO:3000375,36514,5828,1549,ErmB,ErmB,AAF86219.1,AF242872.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration
124,ARO:3000954,37334,1575,115,TEM-87,TEM-87,AAG44570.1,AF250872,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
125,ARO:3004659,42698,5539,3359,Mef(En2),Mef(En2),AAF74725.1,AF251288.1,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
126,ARO:3001085,37465,1873,1919,SHV-27,SHV-27,AAG01039.1,AF293345,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
127,ARO:3001086,37466,1946,1742,SHV-28,SHV-28,AAG15384.1,AF299299,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
128,ARO:3001430,37830,1842,916,OXA-36,OXA-36,AAG24866.1,AF300985,OXA beta-lactamase,cephalosporin;penam,antibiotic inactivation
129,ARO:3001087,37467,2024,1927,SHV-29,SHV-29,AAG49894.1,AF301532,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation
130,ARO:3004448,41642,4274,2888,HERA-1,HERA-1,AAL26797.1,AF311385.1,HERA beta-lactamase,penam,antibiotic inactivation
131,ARO:3002639,39039,545,1830,APH(3'')-Ib,APH(3'')-Ib,ABK33456.1,AF313472,APH(3''),aminoglycoside antibiotic,antibiotic inactivation
132,ARO:3002819,39253,363,2054,msrC,msrC,AAK01167.1,AF313494,ABC-F ATP-binding cassette ribosomal protection protein,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic,antibiotic target protection
133,ARO:3001426,37826,1761,566,OXA-32,OXA-32,AAK58418.1,AF315351,OXA beta-lactamase,cephalosporin;penam,antibiotic inactivation
134,ARO:3000604,36743,4237,1434,Erm(35),Erm(35),AAK07612.2,AF319779.2,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration
135,ARO:3000931,37311,1161,885,TEM-63,TEM-63,AAK17194.1,AF332513,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
136,ARO:3000947,37327,1003,1667,TEM-80,TEM-80,AAM15527.1,AF347054,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
137,ARO:3001428,37828,1931,1686,OXA-34,OXA-34,AAK15582.1,AF350424,OXA beta-lactamase,cephalosporin;penam,antibiotic inactivation
138,ARO:3000957,37337,1804,1137,TEM-90,TEM-90,AAK30619.1,AF351241,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
139,ARO:3000774,37154,4256,1313,adeA,adeA,AAL14439.1,AF370885.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline;tetracycline antibiotic,antibiotic efflux
140,ARO:3000775,37155,4257,866,adeB,adeB,AAL14440.1,AF370885.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline;tetracycline antibiotic,antibiotic efflux
141,ARO:3004818,42938,5810,3612,HERA-3,HERA-3,AAL26996.1,AF398335.1,HERA beta-lactamase,penam,antibiotic inactivation
142,ARO:3000948,37328,1080,1531,TEM-81,TEM-81,AAL29433.1,AF427127,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation
